mu0,mu1,p0,p1,sigma0,sigma1,eta,loglik,loglik.se
-6.173217578473893,-5.6695597188911595,0.07338289660895468,0.9112884107914004,0.12854658084811235,0.36296524925464335,0.2069079738576605,-116.12553129366202,0.49731441666519866
-6.150340126942057,-5.570243659101766,0.07551692692036822,0.9260096143856976,0.1344554918809683,0.37740417383432995,0.729867933745643,-116.63377108099947,1.5097782554018455
-6.175321439327838,-5.650297164502534,0.09704250590033686,0.9022443317756951,0.13095639159473219,0.3487593071571938,0.05887936977692165,-116.69323722927203,0.558798182015954
-6.197492297042598,-5.6410415732150545,0.03534409067105929,0.9341682941182455,0.16626893071839366,0.3731108874664275,0.4903475561892157,-119.48227453576048,0.1517988073242358
-6.152579139094638,-5.647870068567957,0.04328331365815785,0.8861296902512367,0.1463510804598586,0.36944235183565544,0.515804913273243,-119.56159061668345,0.5042672917089589
-6.212027535013485,-5.718644090141272,0.08373865808981619,0.9247161072024874,0.09472577623311021,0.3864206891153504,0.664617032326209,-119.73646005036538,0.33080005747689195
-6.1556433368983745,-5.573720680818096,0.04342466347953255,0.8481732202609885,0.14438781386750307,0.42689384182752865,0.8547717068200691,-120.4070457321818,0.46392327682165413
-6.155661214556743,-5.5802678752408745,0.052377400675927215,0.9022779631150134,0.13286751295527632,0.4402910029905872,0.5298024896888736,-120.73720575504822,0.17946509662628435
-6.18124350508972,-5.671540568873311,0.09826170534780317,0.9074327115603603,0.11520054404462353,0.4334876536116866,0.5669289836198194,-120.73999140450731,0.10232810538497439
-6.149049525772403,-5.657144981472669,0.10771134373153636,0.8433921444683194,0.14047332221424555,0.39664488780906865,0.7616931334143124,-121.52429479946318,0.366731920809765
-6.199673703587432,-5.571039460412649,0.12386617870756504,0.8930841543946312,0.11925561441034947,0.36489085379100417,0.5764433979276637,-121.60112874798904,0.15506166193319113
-6.178236055142973,-5.706143289135383,0.1184779732531907,0.9328498561782473,0.16430227954372714,0.42562912448516776,0.2623024833412158,-122.58543205872567,0.3991938184303838
-6.226401634909208,-5.666353888993723,0.06360409690073904,0.960975658527033,0.09915267555545101,0.3450819302538503,0.3763989922330623,-122.68241594639053,0.42713189258976014
-6.229204240386166,-5.723892066562407,0.09740586203355714,0.9402312373973566,0.0791345469100407,0.3977987989873116,0.15837012513355633,-122.77478794157608,0.3742492583038825
