"logLik","logLik_se","sigma_nu","k","s_bar","s","l","m_bar","e","rho","M0","Z0"
-29.3117677619212,0.343761691298355,0.0283979513290743,0.0266347378896483,0.0733438264611361,1.43660517471852,0.0252414568541961,-6.17494317896232,0.0823846656392952,0.0617732120095775,-6.21733525334657,0.713850909978814
-414.528080180684,0.131415200711623,0.0372983031878358,0.0486408498568095,0.0975426598491701,0.769867378017162,1.65111516721579,-5.79673985690082,0.0207976778349889,0.145227477202065,-4.44947533989099,-0.0747904500311407
-54.508867803523,0.269255787219628,0.0375124786148303,0.19503331873427,0.0230229757883753,1.14377144112402,0.195549852070298,-5.92115692738421,0.118277274197453,0.999999527032154,-6.0479666100462,-0.741648191971841
-405.485178663623,0.115462314066753,0.0305650597676943,0.0444908701047892,0.187431547219655,0.876302918004139,0.491295448038247,-5.81100661009624,0.00493812869594256,2.60942356980484e-06,-4.6923696568394,1.4989034617903
-357.105615721007,0.143804767723881,0.0118485510464522,0.00955441788446399,0.508207561604064,0.807986117351962,0.608005852017166,-5.88992448137735,0.0348282500695374,0.696415371218952,-5.49629782545779,-0.154001378613443
-45.4189475446128,0.397772556658719,0.00725692387773659,0.0281697711115267,0.0780512954266538,1.40536448208545,0.1740651287668,-5.96639035081904,0.123641039088439,0.945101453782691,-4.90363973942934,0.323306338308465
-23.5300254723159,0.493875678133556,0.0248797166941178,0.139696758851086,0.0111251542770768,1.31184116256909,0.079135865728682,-6.01843874993494,0.0952562574190727,0.999999999967209,-5.87979765240421,-0.687090940178547
-384.225790937376,0.132753807783304,0.0426955785394368,0.209439360706176,0.050468108441478,0.852780919980372,1.12979918330404,-5.89997675735763,0.0143108133844439,2.76899675083557e-07,-5.62567918292588,-0.101680579444683
-479.140157546596,0.172406734149974,0.0422318675879455,0.137882184314619,0.0403323809019613,1.07629337193414,1.06990330656994,-5.82674881759936,0.00592540238410231,0.999757552194244,-5.29577121989011,-0.459468870627478
-29.7990313929164,0.739101337473548,0.0242513052034824,0.0205737454902943,0.109330774474835,1.16442782636909,0.0771683566152187,-5.94841185490225,0.117334981200697,0.999999387274919,-6.15668216077929,1.16178645782404
