Date,Price,Open,High,Low,Vol,Change%
23-Feb-20,"2,880.30","3,027.89","3,042.18","2,878.54",203.28B,-5.24%
16-Feb-20,"3,039.67","2,924.99","3,058.90","2,924.99",165.03B,4.20%
9-Feb-20,"2,917.01","2,860.50","2,935.41","2,851.05",133.83B,1.43%
2-Feb-20,"2,875.96","2,716.70","2,876.59","2,685.27",151.56B,-3.38%
26-Jan-20,"2,976.53","2,976.53","2,976.53","2,976.53",-,0.00%
19-Jan-20,"2,976.53","3,082.11","3,096.31","2,955.35",94.19B,-3.22%
12-Jan-20,"3,075.50","3,091.49","3,127.17","3,067.25",103.66B,-0.54%
5-Jan-20,"3,092.29","3,070.91","3,107.20","3,059.13",134.09B,0.28%
29-Dec-19,"3,083.79","2,998.17","3,098.10","2,983.34",101.95B,2.62%
22-Dec-19,"3,005.04","2,999.04","3,036.11","2,960.43",97.39B,0.00%
15-Dec-19,"3,004.94","2,970.97","3,039.38","2,958.71",117.27B,1.26%
8-Dec-19,"2,967.68","2,914.46","2,969.98","2,902.79",86.02B,1.91%
1-Dec-19,"2,912.01","2,874.45","2,912.01","2,857.32",65.54B,1.39%
24-Nov-19,"2,871.98","2,885.61","2,915.04","2,858.58",72.46B,-0.46%
17-Nov-19,"2,885.29","2,889.55","2,933.99","2,873.99",67.93B,-0.21%
10-Nov-19,"2,891.34","2,949.96","2,949.96","2,891.20",68.21B,-2.46%
3-Nov-19,"2,964.18","2,964.58","3,008.31","2,962.84",79.91B,0.20%
27-Oct-19,"2,958.20","2,958.69","2,980.13","2,917.15",82.01B,0.11%
20-Oct-19,"2,954.93","2,933.90","2,958.24","2,917.69",63.72B,0.57%
13-Oct-19,"2,938.14","2,993.96","3,026.38","2,933.24",78.64B,-1.19%
6-Oct-19,"2,973.66","2,905.76","2,980.79","2,891.54",55.14B,2.36%
29-Sep-19,"2,905.19","2,927.92","2,936.48","2,905.19",11.66B,-0.92%
22-Sep-19,"2,932.17","2,998.40","3,002.90","2,920.93",82.24B,-2.47%
15-Sep-19,"3,006.45","3,041.92","3,042.93","2,970.57",95.81B,-0.82%
8-Sep-19,"3,031.24","3,023.78","3,033.47","3,004.22",91.02B,1.05%
1-Sep-19,"2,999.60","2,886.94","3,015.84","2,883.68",113.95B,3.93%
25-Aug-19,"2,886.24","2,851.02","2,919.64","2,849.24",93.37B,-0.39%
18-Aug-19,"2,897.43","2,835.52","2,902.46","2,829.85",87.16B,2.61%
11-Aug-19,"2,823.82","2,781.98","2,840.32","2,756.83",70.78B,1.77%
4-Aug-19,"2,774.75","2,854.58","2,863.69","2,733.92",85.40B,-3.25%
28-Jul-19,"2,867.84","2,943.92","2,965.63","2,851.44",74.46B,-2.60%
21-Jul-19,"2,944.54","2,925.79","2,948.33","2,879.69",75.03B,0.70%
14-Jul-19,"2,924.20","2,921.55","2,955.00","2,886.70",74.84B,-0.22%
7-Jul-19,"2,930.55","2,997.81","2,997.81","2,905.81",77.36B,-2.67%
30-Jun-19,"3,011.06","3,024.62","3,048.48","2,990.92",102.88B,1.08%
23-Jun-19,"2,978.88","3,004.29","3,012.83","2,948.99",100.55B,-0.77%
16-Jun-19,"3,001.98","2,880.42","3,010.35","2,874.31",111.04B,4.16%
9-Jun-19,"2,881.97","2,833.01","2,927.43","2,824.36",109.58B,1.92%
2-Jun-19,"2,827.80","2,901.74","2,920.83","2,822.19",76.30B,-2.45%
26-May-19,"2,898.70","2,851.28","2,934.98","2,833.04",102.00B,1.60%
19-May-19,"2,852.99","2,874.80","2,919.24","2,838.45",98.54B,-1.02%
12-May-19,"2,882.30","2,905.07","2,956.78","2,872.83",116.56B,-1.94%
5-May-19,"2,939.21","2,984.73","2,986.54","2,838.38",129.41B,-4.52%
28-Apr-19,"3,078.34","3,090.63","3,107.76","3,050.03",51.44B,-0.26%
21-Apr-19,"3,086.40","3,278.49","3,279.49","3,085.80",156.32B,-5.64%
14-Apr-19,"3,270.80","3,233.46","3,275.33","3,153.21",170.50B,2.58%
7-Apr-19,"3,188.63","3,271.27","3,288.45","3,168.04",189.16B,-1.78%
31-Mar-19,"3,246.57","3,111.66","3,254.14","3,111.66",181.29B,5.04%
24-Mar-19,"3,090.76","3,058.80","3,093.03","2,987.77",168.84B,-0.43%
17-Mar-19,"3,104.15","3,027.80","3,125.02","3,009.51",188.64B,2.73%
10-Mar-19,"3,021.75","2,969.08","3,093.39","2,963.58",210.49B,1.75%
3-Mar-19,"2,969.86","3,015.94","3,129.94","2,969.58",266.65B,-0.81%
24-Feb-19,"2,994.01","2,838.39","2,997.49","2,838.39",226.52B,6.77%
17-Feb-19,"2,804.23","2,699.82","2,804.23","2,699.82",139.46B,4.54%
10-Feb-19,"2,682.39","2,613.17","2,729.45","2,613.17",97.58B,2.45%
27-Jan-19,"2,618.23","2,615.71","2,630.32","2,559.98",70.94B,0.63%
20-Jan-19,"2,601.72","2,599.06","2,618.98","2,569.70",76.08B,0.22%
13-Jan-19,"2,596.01","2,553.33","2,598.88","2,532.43",80.76B,1.65%
6-Jan-19,"2,553.83","2,528.70","2,574.41","2,515.51",83.66B,1.55%
30-Dec-18,"2,514.87","2,497.88","2,515.32","2,440.91",40.32B,0.84%
23-Dec-18,"2,493.90","2,506.74","2,532.00","2,462.84",60.15B,-0.89%
16-Dec-18,"2,516.25","2,587.26","2,599.15","2,498.69",57.83B,-2.99%
9-Dec-18,"2,593.74","2,589.19","2,645.84","2,576.24",61.47B,-0.47%
2-Dec-18,"2,605.89","2,647.13","2,666.08","2,599.28",78.07B,0.68%
25-Nov-18,"2,588.19","2,580.84","2,617.55","2,555.32",70.04B,0.34%
18-Nov-18,"2,579.48","2,681.90","2,703.51","2,577.35",97.09B,-3.72%
11-Nov-18,"2,679.11","2,593.20","2,695.57","2,590.21",111.28B,3.09%
4-Nov-18,"2,598.87","2,665.43","2,675.68","2,598.16",84.27B,-2.90%
28-Oct-18,"2,676.48","2,593.59","2,676.48","2,521.78",90.74B,2.99%
21-Oct-18,"2,598.85","2,565.64","2,675.41","2,531.53",87.13B,1.90%
14-Oct-18,"2,550.47","2,605.91","2,611.97","2,449.20",64.07B,-2.17%
7-Oct-18,"2,606.91","2,768.21","2,771.94","2,536.67",74.70B,-7.60%
23-Sep-18,"2,821.35","2,775.07","2,827.34","2,771.16",50.98B,0.85%
16-Sep-18,"2,797.48","2,671.29","2,797.49","2,644.30",61.50B,4.32%
9-Sep-18,"2,681.64","2,698.01","2,703.43","2,647.17",50.08B,-0.76%
2-Sep-18,"2,702.30","2,716.40","2,756.61","2,683.72",52.28B,-0.84%
26-Aug-18,"2,725.25","2,736.32","2,791.39","2,710.54",56.75B,-0.15%
19-Aug-18,"2,729.43","2,673.07","2,748.82","2,653.11",51.70B,2.27%
12-Aug-18,"2,668.97","2,769.02","2,789.80","2,665.59",58.60B,-4.52%
5-Aug-18,"2,795.31","2,736.53","2,806.11","2,692.32",70.02B,2.00%
29-Jul-18,"2,740.44","2,871.94","2,897.40","2,726.48",72.13B,-4.63%
22-Jul-18,"2,873.59","2,815.20","2,915.30","2,809.62",88.56B,1.57%
15-Jul-18,"2,829.27","2,827.08","2,837.86","2,753.84",59.45B,-0.07%
8-Jul-18,"2,831.18","2,752.45","2,844.19","2,752.43",63.01B,3.06%
1-Jul-18,"2,747.23","2,841.58","2,845.68","2,691.02",66.83B,-3.52%
24-Jun-18,"2,847.42","2,903.45","2,908.62","2,782.38",62.13B,-1.47%
17-Jun-18,"2,889.76","2,982.65","2,984.97","2,837.14",65.54B,-4.37%
10-Jun-18,"3,021.90","3,057.34","3,081.45","3,008.73",60.14B,-1.48%
3-Jun-18,"3,067.15","3,083.43","3,128.72","3,053.29",61.60B,-0.26%
27-May-18,"3,075.14","3,136.81","3,149.66","3,041.00",68.99B,-2.11%
20-May-18,"3,141.30","3,206.18","3,219.74","3,131.07",71.93B,-1.63%
13-May-18,"3,193.30","3,167.04","3,193.45","3,144.78",63.49B,0.95%
6-May-18,"3,163.26","3,094.90","3,180.76","3,091.66",67.22B,2.34%
29-Apr-18,"3,091.03","3,087.41","3,105.66","3,056.16",39.29B,0.29%
22-Apr-18,"3,082.23","3,063.44","3,136.04","3,045.94",68.65B,0.35%
15-Apr-18,"3,071.54","3,152.89","3,153.11","3,041.62",77.61B,-2.77%
8-Apr-18,"3,159.05","3,125.44","3,220.85","3,110.30",75.95B,0.89%
1-Apr-18,"3,131.11","3,169.78","3,192.34","3,119.13",47.69B,-1.19%
25-Mar-18,"3,168.90","3,117.32","3,177.72","3,091.46",86.39B,0.51%
18-Mar-18,"3,152.76","3,264.93","3,314.21","3,110.66",87.22B,-3.58%
11-Mar-18,"3,269.88","3,319.21","3,333.88","3,269.28",83.09B,-1.13%
4-Mar-18,"3,307.17","3,255.87","3,309.72","3,236.72",82.71B,1.62%
25-Feb-18,"3,254.53","3,307.30","3,335.99","3,228.58",82.38B,-1.05%
18-Feb-18,"3,289.02","3,237.57","3,294.13","3,234.12",28.45B,2.81%
11-Feb-18,"3,199.16","3,128.37","3,219.22","3,113.61",40.52B,2.21%
4-Feb-18,"3,129.85","3,411.67","3,487.72","3,062.74",121.68B,-9.60%
28-Jan-18,"3,462.08","3,563.64","3,587.03","3,388.86",109.83B,-2.70%
21-Jan-18,"3,558.13","3,476.99","3,574.90","3,475.67",117.53B,2.01%
14-Jan-18,"3,487.86","3,428.95","3,498.43","3,401.96",117.21B,1.72%
7-Jan-18,"3,428.94","3,391.55","3,435.42","3,384.56",98.46B,1.10%
31-Dec-17,"3,391.75","3,314.03","3,402.07","3,314.03",83.61B,2.56%
24-Dec-17,"3,307.17","3,296.21","3,312.30","3,263.73",76.90B,0.31%
17-Dec-17,"3,297.06","3,268.03","3,309.22","3,254.18",63.98B,0.95%
10-Dec-17,"3,266.14","3,290.49","3,322.67","3,259.39",62.01B,-0.72%
3-Dec-17,"3,289.99","3,310.38","3,324.00","3,254.61",77.33B,-0.83%
26-Nov-17,"3,317.62","3,346.66","3,347.05","3,300.78",78.43B,-1.08%
19-Nov-17,"3,353.82","3,361.36","3,442.18","3,328.33",96.18B,-0.86%
12-Nov-17,"3,382.91","3,435.18","3,450.49","3,373.30",97.68B,-1.45%
