,Beta,mu_IR,mu_ID,mu_EI,alpha,mu_AR,mu_PI,c_1,c_2,c_3,c_4,c_5,c_6,rho,N,tau,loglik,loglik.se
162,0.057179637,2.933717468,8.70E-06,1.439038917,0.740686696,0.078476503,0.048719182,2.469543118,1.659859138,0.33090638,2.28168534,1.446237886,0.209378823,0.814533548,39512223,21435.48725,-4181.751899,1.381532356
163,0.657339075,12.53451967,2.35E-07,2.726347879,0.885725514,0.987931926,0.7876234,1.556547037,1.454617515,1.364676557,1.533417396,1.508895734,1.428355255,0.664000883,39512223,1424.141993,-4183.729272,63.72342548
164,0.365748009,9.097153012,4.16E-07,6.394100515,0.792912983,0.744186521,0.044521189,1.128226046,0.848797317,0.332583059,0.573280511,1.308117111,0.316499598,0.102497046,39512223,2172.977598,-4186.946167,11.14679087
165,0.096116321,15.94476062,9.11E-07,0.106679131,0.907615993,0.106293284,0.311673285,3.161171108,1.772012735,0.357514997,2.832231176,1.41432722,0.066999812,0.85840144,39512223,18640.24286,-4187.283129,0.616087113
166,0.088462393,4.381438959,9.60E-06,1.486689766,0.502587662,0.05206243,0.201676768,1.611346385,1.693425882,0.206852815,1.696579354,1.159164774,0.192796423,0.434200615,39512223,10630.55782,-4188.023158,0.409810402
167,0.22638815,31.75184456,9.87E-06,1.438937108,0.203942082,0.044385777,0.217643761,1.292512453,0.619585371,0.460639239,0.754239603,1.269010331,0.781639818,0.11669083,39512223,1594.955038,-4188.191492,20.59704381
168,0.100788454,4.455214437,1.60E-06,0.677890319,0.853312919,0.063378994,0.125567867,1.462924216,1.002653044,0.16917729,1.298565714,0.805638562,0.131637104,0.812766646,39512223,15987.26719,-4188.944096,6.140843585
169,0.151531733,26.81719235,1.06E-05,1.389585183,0.500406889,0.556512882,0.05011553,2.018505765,0.886338286,0.357134478,0.981280341,1.979050033,0.658313158,0.098975854,39512223,1107.405608,-4189.513696,12.24040425
170,0.057312246,4.963257718,1.45E-06,4.451977655,0.841786336,0.054852905,0.687432516,2.534943757,1.652194151,0.170889693,2.183656603,1.422671522,0.142863845,0.815035208,39512223,18668.92001,-4193.243648,2.088483651
171,0.120489209,6.961369003,6.56E-07,2.327959243,0.713667768,0.228667467,2.479995334,3.244909855,2.809371615,2.097529043,3.046077595,2.812999888,1.414827481,0.780220375,39512223,12445.77181,-4193.96316,0.50311543
172,0.346747557,13.15664947,2.92E-06,3.057598749,0.614853845,0.196036761,4.81494089,1.17956221,1.014470339,0.796759634,1.121179426,1.411712015,1.807302004,0.147056684,39512223,908.2711137,-4194.109981,37.75109656
173,0.119578525,6.185484814,1.08E-06,0.703987661,0.699588291,0.632411214,0.093629163,3.085279135,2.626352043,1.080419918,2.718896194,2.325986447,0.141136967,0.811387663,39512223,17088.35557,-4200.839575,5.826656096
174,0.074588124,22.022368,2.30E-05,0.894524179,0.835514279,0.132085332,0.788280522,3.649953281,2.39807835,1.421188192,2.865821908,2.426663403,0.465510453,0.944557542,39512223,49823.27711,-4201.701075,1.645087805
175,0.616379899,7.776183205,4.80E-07,5.150980784,0.949027734,0.368363454,0.202912322,0.73374592,0.598668942,0.510749923,0.634160867,0.638285223,0.513319242,0.492300802,39512223,3307.727506,-4201.701205,1.047054991
176,0.032926257,2.723665765,3.46E-07,4.7910659,0.768877357,0.066464514,0.532439014,4.233928812,4.135423365,0.691312693,4.408031392,3.192152553,0.549973078,0.660987845,39512223,14943.93556,-4202.266081,1.260853432
177,0.142973791,3.793037589,5.74E-07,0.449478408,0.553985039,0.110617128,0.297128003,1.710517285,1.308093868,0.610876873,1.630734886,1.341976013,0.311643738,0.437447466,39512223,4811.329229,-4203.413688,6.997374856
178,0.385653479,12.1297457,2.44E-06,1.864972902,0.539308648,0.229878512,0.444451486,0.939669408,0.830505556,0.60447088,0.897542271,0.836687056,0.522676165,0.662613063,39512223,6341.648103,-4203.931086,5.194352967
179,0.503301901,20.14155254,5.02E-06,1.990015337,0.407161547,0.637430113,0.516424425,1.262439519,1.120509697,1.008699941,1.175730276,1.176826523,1.079075881,0.502672827,39512223,2176.197462,-4204.322873,22.81721526
180,0.091201624,14.65276154,2.74E-06,4.691895306,0.694176369,0.08857754,0.155049518,2.054056826,1.396243332,0.640183559,1.72280286,1.367590829,0.268387115,0.634046695,39512223,6002.463678,-4205.527936,2.195761611
181,0.164649809,11.58793259,5.39E-06,0.483374503,0.441034778,0.046028623,1.53870867,2.289653263,1.290153205,0.626445865,0.556236595,2.778557851,34.65490538,0.06261481,39512223,7876.399369,-4205.59329,0.955595097
182,0.045945302,4.764814217,6.27E-07,0.645855105,0.896322893,0.043911386,0.830113456,3.142285322,1.750175072,0.06365516,2.52525407,1.357523987,0.258408072,0.774384569,39512223,13515.38922,-4206.114333,0.360225487
183,0.087795843,6.643821337,9.90E-07,1.471288965,0.237827362,0.078645304,0.146901739,2.260787745,1.761136231,0.820013049,1.957369362,1.620285547,0.25825253,0.87551286,39512223,27926.77184,-4206.53355,4.653159643
184,0.156717034,7.597507489,4.31E-06,18.11302056,0.339385064,0.324910567,0.095892798,1.324542149,1.015278663,0.479567365,1.109337811,0.989231094,0.10334875,0.669371274,39512223,9219.906912,-4206.850806,0.661727108
185,0.272289651,5.431073721,4.41E-06,1.153133006,0.653016347,0.484138463,1.510728309,2.496037075,2.360128558,1.960418759,2.478032173,2.320285018,1.96941232,0.928702926,39512223,30232.3247,-4207.743856,13.15170496
186,0.156264637,8.163392377,8.83E-06,0.55810742,0.601862393,0.164949399,0.63970662,2.240295609,1.727998415,1.118387667,1.960423091,1.733335404,0.457476248,0.640616785,39512223,5539.748453,-4210.643195,2.634612741
187,0.05295821,6.835803502,1.04E-05,1.105163221,0.744531835,0.081085854,1.238676013,3.951771615,2.641801641,1.245519721,3.09460977,2.514980194,0.262641206,0.614418068,39512223,6344.500679,-4211.369859,29.60481535
188,0.070208091,5.349148436,7.02E-06,0.946186705,0.204324412,0.000840176,0.775392475,4.355337949,3.034936374,0.200372746,0.25765095,1.06296297,0.034761738,0.941881774,39512223,104748.1746,-4212.35965,2.69854652
189,0.419433681,3.788128081,2.33E-05,1.374027226,0.768897531,0.26091921,0.49155929,0.800593,0.788473004,0.552041717,0.804469501,0.757574207,0.486889086,0.683347095,39512223,9650.108855,-4213.707651,2.264559309
190,0.17608202,4.817446604,1.19E-07,4.779669976,0.26557042,0.10812252,0.815845163,2.087702315,2.045924402,1.126584671,2.076947771,1.907924446,0.456412163,0.65274665,39512223,8521.502316,-4215.236156,0.791551262
191,0.526982485,3.395766911,9.82E-07,2.114635775,0.716263263,0.380677657,0.994880099,0.902161589,0.885949543,0.737417956,0.944791589,0.893445175,0.693587148,0.75600663,39512223,6188.672381,-4220.575,3.680486545
192,0.365763499,6.727706825,2.61E-06,1.470497022,0.701755163,0.580961636,0.346657813,1.535071347,1.344060275,1.159579059,1.454471155,1.424482926,1.16674183,0.538185489,39512223,2879.800495,-4221.235187,1.49699835
193,0.635194646,9.357232753,2.48E-06,0.99003783,0.678792717,0.38116025,3.338062626,0.853160328,0.895119402,0.659323498,1.003773881,0.945819747,0.808753716,0.288338533,39512223,7507.221067,-4222.766108,0.819519331
194,0.334453753,33.82032635,1.51E-05,0.666384376,0.188924709,0.032803285,1.32210298,1.804709252,1.085860243,0.280008618,0.499415822,1.832943841,0.587084485,0.090760976,39512223,2015.993283,-4225.238528,52.93203167
195,0.357574429,4.041837825,1.07E-05,1.885392304,0.826889047,0.305278702,1.172887065,1.053105324,1.062522511,0.795246974,1.136152001,1.037250724,0.685466937,0.808855358,39512223,12197.02504,-4225.272907,0.757970756
196,0.042006413,4.61005408,2.75E-06,1.718726928,0.906932956,0.055380895,0.489367147,3.263301556,2.258859229,0.201669433,2.979602233,1.880089382,0.176030628,0.571009529,39512223,5989.749398,-4226.237704,4.661867435
197,0.263206392,3.626730083,8.87E-07,0.823973681,0.384559658,1.819105482,0.181781311,1.349914856,1.135014692,0.693838304,1.366637896,1.157972879,0.404805217,0.780280863,39512223,12176.69174,-4226.625222,1.124698005
198,0.138848114,10.32916443,5.73E-06,1.723331321,0.40805366,0.456459778,0.122624175,2.092671067,1.384885823,0.872863449,1.676233606,1.469147515,0.192241191,0.795937694,39512223,12825.93715,-4227.593568,0.96636119
199,0.196475835,8.010490755,3.52E-07,0.063561967,0.59404918,0.083217532,1.13134133,2.037865374,1.208855356,0.591264879,1.309513518,0.582725517,0.110943006,0.833693725,39512223,49290.53829,-4229.176194,0.683929994
200,0.147274896,2.967897619,9.66E-07,1.125423989,0.883686359,0.23584473,0.098624357,1.769916979,1.709820147,0.909630706,1.859270882,1.529543497,0.464788038,0.776838704,39512223,17776.06583,-4229.850319,14.98237646
201,0.072648854,4.375207059,0.000197557,0.427283429,0.209371763,0.040011139,0.098908779,2.303232817,2.07030253,0.08232862,2.115953284,1.403870684,0.351563876,0.241868203,39512223,6203.653486,-4230.160412,9.734140943
202,0.239611031,13.82529552,3.36E-06,0.08976295,0.96584859,0.356359426,0.677184448,2.977100077,1.972627227,0.669183354,2.775378712,1.781792826,0.346501438,0.96649029,39512223,65949.20109,-4234.634358,1.149148694
203,0.267628991,1.702698157,1.36E-05,1.135836366,0.540398807,0.135200885,3.727507965,1.048159764,1.086975297,0.526525918,1.13578018,0.979080511,0.332954451,0.943190232,39512223,54404.83628,-4236.234462,0.43651101
204,0.330319889,24.48759452,3.81E-06,1.136484195,0.824973106,0.572931816,0.292609814,1.911526404,1.557485947,1.364991352,1.675929612,1.769175313,1.759856659,0.321640274,39512223,1613.190258,-4239.231062,11.09881453
205,0.107343721,13.41125045,5.47E-07,0.494285158,0.504195258,0.078750464,0.696812165,2.730473276,1.699911112,0.520238401,2.060689666,1.63198026,0.062259742,0.817890604,39512223,18118.50797,-4241.395711,0.830836121
206,0.155305136,8.06643179,5.87E-07,1.227668859,0.500862183,0.092078304,0.406585767,1.780753506,1.342910772,0.614544737,1.513401112,1.875001085,1.02667988,0.114095002,39512223,3686.424192,-4243.199527,0.851033169
207,0.530760329,5.581495727,1.12E-06,1.791759955,0.684223466,0.582350814,1.484715321,1.402585413,1.300939791,1.183007289,1.397454108,1.376931495,1.248377135,0.610382498,39512223,2818.334869,-4246.281823,5.984930568
