Beta,mu_IR,mu_EI,rho,eta,N,loglik,loglik.se
14.155748365424238,2,23.146127184450137,0.20119342050133388,0.16082425247108564,38000,-120.94248015981175,0.16548638872115282
11.17358156575781,2,20.8988855515685,0.13488932199081036,0.2127586206896552,38000,-120.94643215424537,0.2121694023205739
12.033119910280758,2,54.6357301130564,0.14472832744998568,0.1962081939356311,38000,-120.94665448383985,0.06700320089579508
22.072241397111227,2,48.13396408288482,0.28959057517725684,0.10223872802064046,38000,-120.95409593475094,0.24616185592133374
15.897358432555498,2,11.120487986310975,0.20262797822918044,0.1482775244806331,38000,-120.96467958515285,0.08932027396862952
19.292650064622784,2,12.25767340757898,0.23181406043477,0.12586206896551724,38000,-120.96770310205143,0.47611888496478605
24.29652630232519,2,5.665416943788527,0.27861399083637767,0.098376091861275,38000,-120.98018625708629,0.2067867362006617
24.078053718441392,2,13.279673258693743,0.2557187777059902,0.10191600636439577,38000,-120.9805798979172,0.09812463105928124
10.743529879903303,2,32.71775956486621,0.13921789591495207,0.21740380149391586,38000,-120.98843040632863,0.12312121257549258
15.51781661143357,2,53.09808420567654,0.194137356346203,0.15482758620689654,38000,-120.99560732969084,0.42007490977508033
26.079553561083237,2,24.733106250713135,0.3056872204009591,0.09113375434762948,38000,-120.99782800400368,0.16833942069312782
25.82106037506967,2,10.162050662228088,0.3146654228477126,0.09345814063313858,38000,-121.00410598437409,0.17571539461722438
15.529828558964432,2,122.40245738051098,0.18158613792134667,0.15482758620689654,38000,-121.00539464049224,0.21057068542869356
11.103678593588896,2,19.192888587431394,0.13777471561183294,0.2127586206896552,38000,-121.01115428514417,0.2212083949329804
22.49126196825217,2,5.581121614377868,0.23814112452297476,0.1087324482732587,38000,-121.01141982214915,0.10454215972896229
8.640800151230724,2,31.761352168344075,0.11035763282036036,0.2706896551724138,38000,-121.01895642759608,0.2461425276840845
9.654384432652913,2,152.5846699038182,0.12102355624175784,0.24172413793103442,38000,-121.02041190452489,0.18895448645443325
30.666309609497066,2,8.231125388948593,0.34137133837170547,0.07973316302098438,38000,-121.02254953954336,0.15198223475406425
16.00716238933485,2,18.875268208628487,0.1822159667526803,0.15117468994651131,38000,-121.03174112818584,0.08631138606383047
13.542375701936344,2,9.095129243268563,0.16237146600097804,0.1754797031803321,38000,-121.03183417544257,0.06423762948465557
14.923648845283102,2,11.437762023180676,0.18355295433504984,0.15482758620689654,38000,-121.04436767074293,0.26092741716244533
17.448671874277654,2,28.95693613773487,0.22692895877299113,0.1358912624182916,38000,-121.04621973915191,0.10278810490583459
12.513276969858342,2,35.02802878412221,0.16875063222091827,0.18379310344827587,38000,-121.05009034816692,0.4926284300744362
24.758400173787237,2,7.909666246339616,0.2881681077633847,0.09689655172413794,38000,-121.05127751986055,0.31349660097392623
20.676069034201664,2,5.654904457607778,0.22380351326060263,0.1195866079406614,38000,-121.05968637426027,0.18505132755213724
12.511691866865005,2,137.91074047166904,0.16142015743001867,0.18379310344827587,38000,-121.06567705526197,0.2397110154182512
11.989727655564371,2,32.876692633103836,0.14904434795572183,0.19500267281607336,38000,-121.08279480403259,0.07972842515191972
11.467258793467469,2,37.89835541979665,0.1451031618602081,0.20321142644921186,38000,-121.08285275132147,0.04956471283530994
13.338223889369202,2,22.68950820705535,0.19174148562706222,0.1690920232138237,38000,-121.08515941312794,0.1512883518912668
